#,单词,音标,解释,笔记
0,"le fleur de sel","","<div id=""NoteTop""></div><div id=""olnid1314""></div><div id=""olnid1315""></div><div id=""olnid1316""></div><div id=""olnid1317""></div>",
1,"rajouter","[raʒute]","v.t. 再加，再增添；再补充",
2,"refroidir","[r(ə)frwadir]","v.t. 使冷，使凉；使扫兴，使寒心；v.i. 变冷，变凉",
3,"dedans","[dədɑ̃]","adv. 在内，在里面；n.m. 内部，里面",
4,"ambrer","[ɑbre]","v.t. 使具有龙涎香香味",
5,"obtenir","[ɔptənir]","v.t. 获得，取得，得到",
6,"caraméliser","[karamelize]","v.t.， v.pr. 使…成焦糖；掺焦糖于…；给…上酱色",
7,"mélanger","[melɑ̃ʒe]","v.t.,v. pr.混合，搀和；弄乱；搞混",
8,"mettre","[mεtr]","v.t. 放，置，摆；送入，使进入；安置；戴，穿；配，添，加，补；使处于……状态；设置，安装；花费（时间，金钱）",
9,"le beurre fondre","","<div id=""NoteTop""></div><div id=""olnid1319""></div><div id=""olnid1320""></div><div id=""olnid1321""></div><div id=""olnid1322""></div>",
10,"fondre","[fɔ̃dr]","v.t. 使熔化；使溶解，使融化；铸造；使合并，使融合；v.i. 熔化；溶解；融化",
11,"noisette","[nwazεt]","n.f. 浅褐色的；榛子",
12,"retirez","","<div id=""NoteTop""></div><div id=""olnid1324""></div><div id=""olnid1325""></div><div id=""olnid1326""></div><div id=""olnid1327""></div>",
13,"cuit","[kɥi, -t]","adj. 熟的， 煮过的， 烧过的；焙烧过的；喝醉的， 酒醉的",
14,"cuisine","[kɥizin]","n.f. 厨房；烹调，烹饪；烹饪法；菜肴",
15,"oreille","[ɔrεj]","n.f. 耳；听觉",
16,"tendre","[tɑ̃dr]","adj.， v.t.dir.， v.pr. 拉紧，绷紧，使紧张；张开，张挂，铺设；伸出，递；设置；使专心",
17,"secouer","[s(ə)kwe]","v.t. 振动，抖动；摇动（头等）；抖落；震撼[指精神]",
18,"grain","[grɛ̃]","n.m. 谷粒，籽粒；种子；粒状果实；颗粒",
19,"casserole","[kasrɔl]","n.f. 有柄平底锅",
20,"par quoi on commence","","<div id=""NoteTop""></div><div id=""olnid1329""></div><div id=""olnid1330""></div><div id=""olnid1331""></div><div id=""olnid1332""></div>",
21,"rassembler","[rasɑ̃ble]","v.t.,v.pr 集合，集结；收集；归到一起；集中，聚拢；重新集合",
22,"huile","[ɥil]","n.f. 油",
23,"tournesol","[turnəsɔl]","n.m. 向日葵",
24,"Une cuillère à soupe","","<div id=""NoteTop""></div><div id=""olnid1334""></div><div id=""olnid1335""></div><div id=""olnid1336""></div><div id=""olnid1337""></div>",
25,"cuillère","[kɥijɛ:r]","n.f. 勺子，调羹，匙；一匙的容量；勺形用具； 匙钩[渔具]",
26,"match","[mat∫]","n.m. 比赛，竞赛",
27,"tamarin","[tamarɛ̃]","n.m. 罗望子",
28,"maïs soufflé","","<div id=""NoteTop""></div><div id=""olnid1339""></div><div id=""olnid1340""></div><div id=""olnid1341""></div><div id=""olnid1342""></div>",
29,"régaler","[regale]","v.t. 款待，请吃饭；请客，付钱",
30,"poche","[pɔ∫]","n.f. 衣袋，口袋；袋，包",
31,"recette","[r(ə)sεt]","n.f. 收入；烹饪法；方法，秘诀",
32,"traiter","[trεte]","v.t. 对待；探讨，论述；商谈；治疗；加工",
