#,单词,音标,解释,笔记
0,"riches en couleurs et en formes","","<div id=""NoteTop""></div><div id=""olnid1014""></div><div id=""olnid1015""></div><div id=""olnid1016""></div><div id=""olnid1017""></div>",
1,"riche en","","<div id=""NoteTop""></div><div id=""olnid1019""></div><div id=""olnid1020""></div><div id=""olnid1021""></div><div id=""olnid1022""></div>",
2,"des paysages","","<div id=""NoteTop""></div><div id=""olnid1024""></div><div id=""olnid1025""></div><div id=""olnid1026""></div><div id=""olnid1027""></div>",
3,"une église ancienne","","<div id=""NoteTop""></div><div id=""olnid1029""></div><div id=""olnid1030""></div><div id=""olnid1031""></div><div id=""olnid1032""></div>",
4,"un village ancien","","<div id=""NoteTop""></div><div id=""olnid1034""></div><div id=""olnid1035""></div><div id=""olnid1036""></div><div id=""olnid1037""></div>",
5,"vallonné","[valɔne]","adj. 小山谷状的，地势起伏的",
6,"le dessus de","","<div id=""NoteTop""></div><div id=""olnid1039""></div><div id=""olnid1040""></div><div id=""olnid1041""></div><div id=""olnid1042""></div>",
7,"plein de choses","","<div id=""NoteTop""></div><div id=""olnid1044""></div><div id=""olnid1045""></div><div id=""olnid1046""></div><div id=""olnid1047""></div>",
8,"sous la place","","<div id=""NoteTop""></div><div id=""olnid1049""></div><div id=""olnid1050""></div><div id=""olnid1051""></div><div id=""olnid1052""></div>",
9,"arcade","[arkad]","n.f. 连拱廊；拱孔；拱廊；",
10,"huître","[ɥitr]","n.f. 牡蛎，蚝",
11,"une grotte","","<div id=""NoteTop""></div><div id=""olnid1054""></div><div id=""olnid1055""></div><div id=""olnid1056""></div><div id=""olnid1057""></div>",
12,"la tombe","","<div id=""NoteTop""></div><div id=""olnid1059""></div><div id=""olnid1060""></div><div id=""olnid1061""></div><div id=""olnid1062""></div>",
13,"un point de vue","","<div id=""NoteTop""></div><div id=""olnid1064""></div><div id=""olnid1065""></div><div id=""olnid1066""></div><div id=""olnid1067""></div>",
14,"atypique","[atipik]","adj. 1.非典型性的，异型的 2.不标准的",
15,"ce côté-là","","<div id=""NoteTop""></div><div id=""olnid1069""></div><div id=""olnid1070""></div><div id=""olnid1071""></div><div id=""olnid1072""></div>",
16,"côté-là","","<div id=""NoteTop""></div><div id=""olnid1074""></div><div id=""olnid1075""></div><div id=""olnid1076""></div><div id=""olnid1077""></div>",
17,"un peu plus loin de","","<div id=""NoteTop""></div><div id=""olnid1079""></div><div id=""olnid1080""></div><div id=""olnid1081""></div><div id=""olnid1082""></div>",
18,"demeure","[dəmœr]","n.f. 住所，住宅；耽搁，延迟",
19,"la demeure","","<div id=""NoteTop""></div><div id=""olnid1084""></div><div id=""olnid1085""></div><div id=""olnid1086""></div><div id=""olnid1087""></div>",
20,"célèbre","[selεbr]","a. 著名的，出名的，驰名的",
21,"des gens célèbres","","<div id=""NoteTop""></div><div id=""olnid1089""></div><div id=""olnid1090""></div><div id=""olnid1091""></div><div id=""olnid1092""></div>",
22,"écrivain","[ekrivɛ̃]","n.m. 作家，作者",
23,"appartenir à","","<div id=""NoteTop""></div><div id=""olnid1094""></div><div id=""olnid1095""></div><div id=""olnid1096""></div><div id=""olnid1097""></div>",
24,"appartenir","[apartənir]","v.i.， v.pr. 1.属于，归...所有 2.适宜于，属于...的权力/义务",
25,"hauteur","[otœr] 虚音H","n.f. 高，高度；海拔；高地；高超；高尚",
26,"sur les hauteurs de","","<div id=""NoteTop""></div><div id=""olnid1099""></div><div id=""olnid1100""></div><div id=""olnid1101""></div><div id=""olnid1102""></div>",
27,"en face","[ɑ̃fas]","对面， 当面",
28,"prendre un bateau","","<div id=""NoteTop""></div><div id=""olnid1104""></div><div id=""olnid1105""></div><div id=""olnid1106""></div><div id=""olnid1107""></div>",
29,"se baigner","","<div id=""NoteTop""></div><div id=""olnid1109""></div><div id=""olnid1110""></div><div id=""olnid1111""></div><div id=""olnid1112""></div>",
30,"selon","[s(ə)lɔ̃]","prép. 按照，依照；依……观点；根据",
31,"le front de mer","","<div id=""NoteTop""></div><div id=""olnid1114""></div><div id=""olnid1115""></div><div id=""olnid1116""></div><div id=""olnid1117""></div>",
32,"à part","","除. . . 以外",
33,"dans la région","","<div id=""NoteTop""></div><div id=""olnid1119""></div><div id=""olnid1120""></div><div id=""olnid1121""></div><div id=""olnid1122""></div>",
34,"tout cela","","<div id=""NoteTop""></div><div id=""olnid1124""></div><div id=""olnid1125""></div><div id=""olnid1126""></div><div id=""olnid1127""></div>",
35,"équipe","[ekip]","n.f. 队，组，班；[体]队",
36,"assidu","[asidy]","a. 殷勤的，始终陪伴在旁的；勤恳的，刻苦的；坚持不懈的",
37,"indiquer","[ɛ̃dike]","v.t. 指明，指示；表明，显示",
38,"avoir accès à","","<div id=""NoteTop""></div><div id=""olnid1129""></div><div id=""olnid1130""></div><div id=""olnid1131""></div><div id=""olnid1132""></div>",
39,"la communauté","","<div id=""NoteTop""></div><div id=""olnid1134""></div><div id=""olnid1135""></div><div id=""olnid1136""></div><div id=""olnid1137""></div>",
40,"efficace et amusante","","<div id=""NoteTop""></div><div id=""olnid1139""></div><div id=""olnid1140""></div><div id=""olnid1141""></div><div id=""olnid1142""></div>",
41,"à la fois","","同时",
42,"idéal","[ideal]","a. 想像的，虚构的；完美的；理想的；n.m. 理想；空想",
43,"en hiver","","<div id=""NoteTop""></div><div id=""olnid1144""></div><div id=""olnid1145""></div><div id=""olnid1146""></div><div id=""olnid1147""></div>",
44,"en toute saison","","<div id=""NoteTop""></div><div id=""olnid1149""></div><div id=""olnid1150""></div><div id=""olnid1151""></div><div id=""olnid1152""></div>",
45,"la mer","","<div id=""NoteTop""></div><div id=""olnid1154""></div><div id=""olnid1155""></div><div id=""olnid1156""></div><div id=""olnid1157""></div>",
46,"le sable","","<div id=""NoteTop""></div><div id=""olnid1159""></div><div id=""olnid1160""></div><div id=""olnid1161""></div><div id=""olnid1162""></div>",
47,"les pins","","<div id=""NoteTop""></div><div id=""olnid1164""></div><div id=""olnid1165""></div><div id=""olnid1166""></div><div id=""olnid1167""></div>",
48,"pin","[pɛ̃]","n.m. 松树",
49,"ça dépond ce qu'on recherche","","<div id=""NoteTop""></div><div id=""olnid1169""></div><div id=""olnid1170""></div><div id=""olnid1171""></div><div id=""olnid1172""></div>",
50,"en dessous de","[ɑ̃dəsudə]","在…以下, 少于…, 低于… 

常见用法
ton livre est en dessous ...",
51,"bas","[bɑ, -s]","a. 低的，矮的；低廉的；低微的，下层的；n.m. 下方，下部，下端；（女式）长筒袜",
52,"balade","[balad]","n.f. 闲逛，溜达；游览",
53,"sur les côtes","","<div id=""NoteTop""></div><div id=""olnid1174""></div><div id=""olnid1175""></div><div id=""olnid1176""></div><div id=""olnid1177""></div>",
54,"vers le bas","","<div id=""NoteTop""></div><div id=""olnid1179""></div><div id=""olnid1180""></div><div id=""olnid1181""></div><div id=""olnid1182""></div>",
55,"médiéval","[medjeval]","adj. 中世纪的，中古的",
56,"découvrir","[dekuvrir]","v.t. 揭开盖子，揭开覆盖物；露出，暴露；发现",
57,"caviste","[kavist]","n.m. 酒窖管理员；酒类管理员",
58,"énormément","[enɔrmemɑ̃]","adv. 极大地，极多地；非常地",
59,"pierre","[pjεr]","n.f. 石，石头；石子；石料；宝石",
60,"tout autour","","<div id=""NoteTop""></div><div id=""olnid1184""></div><div id=""olnid1185""></div><div id=""olnid1186""></div><div id=""olnid1187""></div>",
61,"rempart","[rɑ̃par]","n.m.（城堡等的）围墙，壁垒；防御物，保护物",
