#,单词,音标,解释,笔记
1,"accrocher","[akrɔ∫e]","v.t. 挂，悬挂；钩破；轻微碰撞",
2,"affirmer","[afirme]","v.t. 断言，肯定；证明，确认；显示，表明",
3,"agir","[aʒir]","v.i. 行动，干；起作用，产生功效；表现，行为，举止",
4,"apparition","[aparisjɔ̃]","n.f. 1.出现，显现； 2.出场，露面 3.逗留，暂留； 4.幻觉，幻象",
5,"arborer","[arbɔre]","v.t. 悬挂，举起，竖起；显示，炫示",
6,"attacher","[ata∫e]","v.t. 绑，缚，固定；系，扣；使系于，使结合；给予，赋予",
7,"Au début de","","<div id=""NoteTop""></div><div id=""olnid1""></div><div id=""olnid2""></div><div id=""olnid3""></div><div id=""olnid4""></div>",
8,"à l'école","","<div id=""NoteTop""></div><div id=""olnid6""></div><div id=""olnid7""></div><div id=""olnid8""></div><div id=""olnid9""></div>",
9,"bander","[bɑ̃de]","v. 包扎；蒙住，包住；拉紧；被拉紧， 被绷紧",
10,"baptiser","[batize]","v.t. [宗]给……行洗礼；给……取教名；给……命名",
11,"blanchir","[blɑ̃∫ir]","v.t. 使变白，使洁白；漂白；涂成白色；洗；v.i. 变白，发白",
12,"caserner","[kazεrne]","v.t. 扎营，驻扎；使扎营，使驻扎",
13,"chapeau","[∫apo]","n.m. 帽子；[机]帽，盖，罩子",
14,"cocarde","[kɔkard]","n.f. 帽徽，帽章；饰结；脑袋",
15,"combattre","[kɔ̃batr]","v.t. 与……作战；反对，与……斗争；v.i. 战斗，作战；进行斗争",
16,"commandant","[kɔmɑ̃dɑ̃]","n. 1.爱发号施令的 2.船长，舰长",
17,"complexer","[kɔ̃plεkse]","v.t. 复杂",
18,"compliquer","[kɔ̃plike]","v.t. 使复杂化；使难懂，使难于理解",
19,"contenir","[kɔ̃tnir]","v.t. 含有，包含；装有；阻止，遏制；克制，忍住",
20,"contrairement","[kɔ̃trεrmɑ̃]","adv. 相反地",
21,"convié","[kȫvje]","n. 宾客，来宾，客人",
22,"Dans ses mémoires","","<div id=""NoteTop""></div><div id=""olnid11""></div><div id=""olnid12""></div><div id=""olnid13""></div><div id=""olnid14""></div>",
23,"devoir","[dəvwar]","v.t. 欠；应该；应归功于；可能会；n.m. 责任，义务；作业",
24,"décapiter","[dekapite]","v.t. 斩首；去顶；毁掉主要部分；除去首脑",
25,"discours","[diskur]","n.m. 演说，讲话；言论，话语；说法，措辞",
26,"discret","[diskrε, -t]","a. 审慎的，谨慎的，慎重的；守口如瓶的；不引人注目的；平庸的",
27,"emballage","[ɑ̃balaʒ]","n.m. 包装，打包；包装用品，包装物；包装情况",
28,"en signe de réconciliation","","<div id=""NoteTop""></div><div id=""olnid16""></div><div id=""olnid17""></div><div id=""olnid18""></div><div id=""olnid19""></div>",
29,"En tout cas","","<div id=""NoteTop""></div><div id=""olnid21""></div><div id=""olnid22""></div><div id=""olnid23""></div><div id=""olnid24""></div>",
30,"est vêtue de","","<div id=""NoteTop""></div><div id=""olnid26""></div><div id=""olnid27""></div><div id=""olnid28""></div><div id=""olnid29""></div>",
31,"expliquer","[εksplike]","v.t. 说明，解释，阐明",
32,"écharpe","[e∫arp]","n.f. 肩带，腰带；披巾，长围巾",
33,"échouer","[e∫we]","v.i. [海]搁浅；未达到，未实现；失败，受挫",
34,"égayer","[egεje]","v.t. 使悦目，修饰，润色；使轻松活泼；使愉快，使高兴；s’~ v. pr. 取乐，娱乐",
35,"élu","[ely]","n. 当选者；民选代表",
36,"époque","[epɔk]","n.f. 时代；时期",
37,"fait son apparition","","<div id=""NoteTop""></div><div id=""olnid31""></div><div id=""olnid32""></div><div id=""olnid33""></div><div id=""olnid34""></div>",
38,"fièrement","[fjεrmɑ̃]","adv. 勇敢地；骄傲地",
39,"flotter","[flɔte]","v.i. 漂浮；飘；飘扬；v. impers. 下雨",
40,"fondateur","[fɔ̃datœr, -tris]","n. 奠基人，缔造者，创立者，创始者，创办人，发起人；基金设置人，慈善事业的捐款人",
41,"fouler","[fule]","v.t.， v.pr. 1.压，榨，挤； 2.行走在...上； 3.扭伤",
42,"garde","[gard]","n.f. 照管，监护；保管；看守；卫队；n.m. 守卫者；近卫军士兵",
43,"hampe","['ɑ̃p] 虚音H","n.f. 杆，柄；笔杆；长茎；笔竖",
44,"il y en a partout","","<div id=""NoteTop""></div><div id=""olnid36""></div><div id=""olnid37""></div><div id=""olnid38""></div><div id=""olnid39""></div>",
45,"illusoire","[ilyzwar]","adj. 引起错觉的，迷惑人的；虚幻的，空想的，幻想的",
46,"instaurer","[ɛ̃stɔre]","v.t. 创立，创建，建立，设立",
47,"la foule","","<div id=""NoteTop""></div><div id=""olnid41""></div><div id=""olnid42""></div><div id=""olnid43""></div><div id=""olnid44""></div>",
