#,单词,音标,解释,笔记
1,"J'aime mon pays du plus profond de mon cœur.","","<div id=""NoteTop""></div><div id=""olnid1""></div><div id=""olnid2""></div><div id=""olnid3""></div><div id=""olnid4""></div>",
2,"profond","[prɔfɔ̃, -d]","a. 深的，深沉的；内在的；深邃的；",
3,"de mon cœur","","<div id=""NoteTop""></div><div id=""olnid6""></div><div id=""olnid7""></div><div id=""olnid8""></div><div id=""olnid9""></div>",
4,"métier","[metje]","n.m. 职业；技能；行业；手艺",
5,"On est bien d'accord.","","<div id=""NoteTop""></div><div id=""olnid11""></div><div id=""olnid12""></div><div id=""olnid13""></div><div id=""olnid14""></div>",
6,"quelques petits trucs","","<div id=""NoteTop""></div><div id=""olnid16""></div><div id=""olnid17""></div><div id=""olnid18""></div><div id=""olnid19""></div>",
7,"énerver","[enεrve]","v.t. [医]切除神经，切断神经；刺激神经，使恼火",
8,"dommage","[dɔmaʒ]","n.m. 损害；损失；遗憾，可惜",
9,"réagir","[reaʒir]","v.i. 起反应；作出反应；反过来影响，起反作用",
10,"commentaire","[kɔmɑ̃tεr]","n.m. 1.评论，论述；注释，说明 2.流言蜚语",
11,"n'hésite pas à","","<div id=""NoteTop""></div><div id=""olnid21""></div><div id=""olnid22""></div><div id=""olnid23""></div><div id=""olnid24""></div>",
12,"ressentir","[r(ə)sɑ̃tir]","v.t. 感觉，感到，觉得；受……影响",
13,"quel est ton ressenti","","<div id=""NoteTop""></div><div id=""olnid26""></div><div id=""olnid27""></div><div id=""olnid28""></div><div id=""olnid29""></div>",
14,"déranger","[derɑ̃ʒe]","v.t. 弄乱；使混乱，打乱；使运转失常；打扰，妨碍",
15,"mentalité","[mɑ̃talite]","n.f. 精神状态，精神面貌；思想，心理",
16,"se plaindre","","<div id=""NoteTop""></div><div id=""olnid31""></div><div id=""olnid32""></div><div id=""olnid33""></div><div id=""olnid34""></div>",
17,"pessimiste","[pesimist]","a. 悲观的；悲观主义的，悲观论的；n. 悲观者；悲观主义者",
18,"demande-lui","","<div id=""NoteTop""></div><div id=""olnid36""></div><div id=""olnid37""></div><div id=""olnid38""></div><div id=""olnid39""></div>",
19,"enthousiasme","[ɑ̃tuzjasm]","n.m. 狂热崇拜；狂喜，兴奋；热情，热忱",
20,"communicatif","[kɔmynikatif, -iv]","adj. 有感染力的；感情外露的，好吐露的",
21,"pire","[pir]","a. 更坏的，更恶劣的，更有害的；n.m. 最坏的事情或情况",
22,"épuiser","[epɥize]","v.t. 排干，抽空；使疲惫不堪，使衰弱；使厌倦；耗尽；使贫瘠",
23,"gueule","[gœl]","n.f.（动物的）嘴，口；（人的）嘴，口",
24,"contaminer","[kɔ̃tamine]","v.t. 传染，使感染；使沾染；使污染",
